,Offense,District,Status,Activity,2016,2017
108,Arson,District 7,Conviction,Guilty Pleas,2,2
109,Arson,District 7,No Conviction,Dismissals,1,1
110,Arson,District 7,No Conviction,Not Guilty Verdict,0,0
111,Arson,District 7,In Progress,Pending Cases,0,0
112,Burglary,District 1,Arrest,No Papered Cases,7,3
113,Burglary,District 1,Arrest,Papered Cases,67,66
114,Burglary,District 1,Conviction,Jury Trial,1,0
115,Burglary,District 1,Conviction,Court Trial,0,0
116,Burglary,District 1,Conviction,Guilty Pleas,48,30
117,Burglary,District 1,No Conviction,Dismissals,14,25
118,Burglary,District 1,No Conviction,Not Guilty Verdict,1,1
119,Burglary,District 1,In Progress,Pending Cases,3,10
120,Burglary,District 2,Arrest,No Papered Cases,5,0
121,Burglary,District 2,Arrest,Papered Cases,25,42
122,Burglary,District 2,Conviction,Jury Trial,0,0
123,Burglary,District 2,Conviction,Court Trial,0,0
124,Burglary,District 2,Conviction,Guilty Pleas,13,19
125,Burglary,District 2,No Conviction,Dismissals,11,18
126,Burglary,District 2,No Conviction,Not Guilty Verdict,0,0
127,Burglary,District 2,In Progress,Pending Cases,1,5
128,Burglary,District 3,Arrest,No Papered Cases,1,0
129,Burglary,District 3,Arrest,Papered Cases,29,20
130,Burglary,District 3,Conviction,Jury Trial,0,0
131,Burglary,District 3,Conviction,Court Trial,0,0
132,Burglary,District 3,Conviction,Guilty Pleas,16,11
133,Burglary,District 3,No Conviction,Dismissals,11,4
134,Burglary,District 3,No Conviction,Not Guilty Verdict,0,0
135,Burglary,District 3,In Progress,Pending Cases,2,5
136,Burglary,District 4,Arrest,No Papered Cases,3,4
137,Burglary,District 4,Arrest,Papered Cases,30,37
138,Burglary,District 4,Conviction,Jury Trial,1,2
139,Burglary,District 4,Conviction,Court Trial,0,0
140,Burglary,District 4,Conviction,Guilty Pleas,17,20
141,Burglary,District 4,No Conviction,Dismissals,9,10
142,Burglary,District 4,No Conviction,Not Guilty Verdict,0,1
143,Burglary,District 4,In Progress,Pending Cases,3,4
